What is your intended or proposed major(s)? (Select all that apply),What category describes your highest education level prior to this semester?,Why have you chosen this major(s)? (Select all that apply),What forms of course support do you plan to utilize this semester?,Are you planning to complete the Data Analytics Certificate requirements at CCSF?,Are you planning to complete the Associates Degree requirements at CCSF?,"If yes, please state ALL of the AS Degrees you are planning to complete, separated by commas.",Are you taking Math 108 with the intention to change careers?,Are you taking Math 108 with the intention to transfer?,"If yes, please list your top 3 choices of transfer schools.",Which of the following math classes did you take in high school? (Select all that apply),"Which math course(s) have you taken previously (in community college, including as a high school student)? (Select all that apply)","Do you have family members, friends, or high school teachers who have experience in data science, computer science and/or engineering? (Select all that apply)",Math 108 is set up based on the belief that you have no prior programming experience and have at least passed a high school level Algebra course. How prepared do you feel that you were to take this course?,"How prepared do you feel for Math 108, based on your math knowledge and skills?","How prepared do you feel for Math 108, your data science knowledge and skills?",How conﬁdent are you that you can succeed in this class?,"What programming languages, if any, do you have at least some experience with? (Select all that apply)",What is your birthday?,What ZIP code do you currently associate with your main residence? ,How many hours of screen time do you have on average a day?  ,What generation immigrant would you say you are?,Approximately how many minutes does it take for you to commute to the lab/discussion meeting for this course?,What best describes how to commute to the lab/discussion meeting for this course?,"On average, how many hours of sleep do you get per night?",Are you planning to choose the Pass/No Pass grading option for this course?,How do you typically recharge after a long day?,"How fast is your reaction time? Go to https://humanbenchmark.com/tests/reactiontime and complete the test 5 times until it tells you to save your score. Respond with the time (ms) they show you on the save screen. Please, be honest :)","How long of a sequence can you remember? Go to https://humanbenchmark.com/tests/sequence and complete the test twice. Respond with your best level number. Please, be honest :)"
Computer Science;Data Science,Bachelor’s degree,"Personal interest (i.e., I am interested in the subject matter);Career goals (i.e., I want to pursue a career in this ﬁeld)",Virtual Math Lab Tutor;Instructor;CS Tutor Squad;Discord;An LLM like ChatGPT;Web Search,No,No,nan,Yes,Yes,"UC Berkeley, UC Davis, SFU",nan,Precalculus,"Yes, a friend or classmate",5.0,4.0,4.0,Very conﬁdent,HTML/CSS;JavaScript;C++;Java;Python,1988-10-03,94109.0,9.0,"Fourth-generation or beyond (born in the country, with all grandparents born in the country)",30.0,"Taking public transportation (e.g., bus, BART)",8.5,No,Spending time alone to relax and reflect.,307.0,11.0
Applied Mathematics;Statistics,Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Employability (i.e., There are many good jobs in this ﬁeld);Career goals (i.e., I want to pursue a career in this ﬁeld)",Virtual Math Lab Tutor;Instructor;An LLM like ChatGPT;Web Search;Other: (please specify),No,No,nan,No,Yes,"UC Berkeley, UCLA, UCSD",Other: (please specify),"Trigonometry;Precalculus;Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Calculus for Science, Engineering, and Mathematics II - or Honors Calculus II;Vector Calculus;Statistics","Yes, one or more parents/guardians;Yes, a friend or classmate",5.0,5.0,5.0,Very conﬁdent,Scratch or another block language;HTML/CSS;JavaScript;C;C++;Java;Python;R;Pandas,1993-12-17,94122.0,8.0,"Fourth-generation or beyond (born in the country, with all grandparents born in the country)",25.0,Waymo,9.0,No,Spending time alone to relax and reflect.,267.0,13.0
Data Science,Bachelor’s degree,"Career goals (i.e., I want to pursue a career in this ﬁeld)",An LLM like ChatGPT,Yes,Maybe,nan,Yes,No,nan,nan,Statistics,"Yes, a friend or classmate",3.0,3.0,3.0,Conﬁdent,Python;R;Pandas,1989-11-24,94110.0,4.0,"First-generation (born outside the country, moved here)",10.0,Walking,7.0,No,Engaging in activities with friends or family.,337.0,7.0
Bio Engineering & Bioinformatics;Data Science;Other: (please specify),Bachelor’s degree,"Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society)",In-person Math Lab Tutor;Instructor;CS Tutor Squad;Discord,Maybe,No,nan,Yes,Yes,San Jose State University/ UC Berkeley/ USF,Precalculus;Other: (please specify),Statistics,"Yes, a friend or classmate",5.0,5.0,5.0,Very conﬁdent,Python;Other: (please specify),1992-05-26,94110.0,5.0,"Third-generation (born in the country, with both parents born in the country but with at least one grandparent born outside)",45.0,Combination of BART/ Biking/ Walking (the bike route to CCSF is awful),8.0,No,"A mix of both, depending on the day.",359.0,9.0
Computer Science;Data Science,High school graduate,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it);Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Friends (i.e., My friends are in this major)",In-person Math Lab Tutor;Instructor;Discord;Web Search,No,No,nan,No,Yes,"UC Berkeley, UCSD, Santa Clara University",Precalculus;Intro to Calculus Calculus AB,"College Algebra for Calculus;Precalculus;Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Statistics","Yes, someone in my extended family (cousin, aunt, etc.) Yes, a family friend or neighbor;Yes, a teacher;Yes, a friend or classmate",5.0,5.0,4.0,Conﬁdent,Scratch or another block language;Python,2002-12-24,94118.0,6.0,"Second-generation (born in the country, with at least one parent born outside the country)",30.0,Driving a personal vehicle,7.0,No,It varies a lot based on my mood or the situation.,268.0,15.0
Other: (please specify),Advanced degree,"Career goals (i.e., I want to pursue a career in this ﬁeld)",In-person Math Lab Tutor;Virtual Math Lab Tutor;Instructor,No,Yes,Human Resources degree,Yes,No,nan,Other: (please specify),Linear Algebra;Statistics,"Yes, someone in my extended family (cousin, aunt, etc.) Yes, a family friend or neighbor",3.0,3.0,3.0,Conﬁdent,HTML/CSS;Python;Pandas,1972-12-04,94122.0,5.0,"Fourth-generation or beyond (born in the country, with all grandparents born in the country)",45.0,"Taking public transportation (e.g., bus, BART)",6.0,No,"A mix of both, depending on the day.",459.0,10.0
Data Science,Bachelor’s degree,"Personal interest (i.e., I am interested in the subject matter);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld)",Instructor;CS Tutor Squad;Virtual UC Berkeley Ambassadors;Virtual CCSF Data Ambassadors;An LLM like ChatGPT,Yes,Yes,Data Science,Maybe,Yes,"USF, Berkeley, CAL",Trigonometry;Precalculus,nan,No,3.0,3.0,3.0,Very conﬁdent,nan,1998-09-25,94102.0,10.0,"Second-generation (born in the country, with at least one parent born outside the country)",20.0,"Taking public transportation (e.g., bus, BART)",7.0,No,Spending time alone to relax and reflect.,273.0,13.0
Applied Mathematics;Statistics;Mathematics,Some college but not a degree,"Personal interest (i.e., I am interested in the subject matter);Personal abilities/talents (i.e., I am good at it);Employability (i.e., There are many good jobs in this ﬁeld);Financial reasons (i.e., Jobs in this ﬁeld pay well);Career goals (i.e., I want to pursue a career in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society)",Instructor;Virtual CCSF Data Ambassadors;Discord;An LLM like ChatGPT;Web Search,Maybe,No,nan,Yes,No,nan,Trigonometry;Precalculus;Intro to Calculus Calculus AB;Calculus BC;Statistics AP,"Trigonometry;College Algebra for Calculus;Precalculus;Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Calculus for Science, Engineering, and Mathematics II - or Honors Calculus II;Linear Algebra;Vector Calculus;Diﬀerential Equations;Discrete Mathematics","Yes, someone in my extended family (cousin, aunt, etc.) Yes, a family friend or neighbor;Yes, a friend or classmate",5.0,5.0,4.0,Conﬁdent,HTML/CSS;JavaScript;C++;Python,1989-02-24,94103.0,8.0,"Fourth-generation or beyond (born in the country, with all grandparents born in the country)",30.0,"Taking public transportation (e.g., bus, BART)",8.0,No,"A mix of both, depending on the day.",224.0,19.0
Computer Science,Bachelor’s degree,"Personal interest (i.e., I am interested in the subject matter);Employability (i.e., There are many good jobs in this ﬁeld);Core values (i.e., I want to learn these skills to make a positive impact on our society)",In-person Math Lab Tutor;Virtual Math Lab Tutor;Instructor;MESA Tutoring Center;CS Tutor Squad;Web Search,Maybe,Yes,nan,Maybe,Maybe,nan,Trigonometry;Precalculus,"Trigonometry;Precalculus;Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Statistics","Yes, a friend or classmate",5.0,3.0,3.0,Somewhat conﬁdent,HTML/CSS;Other: (please specify),1984-04-24,94124.0,4.0,"Second-generation (born in the country, with at least one parent born outside the country)",45.0,"Taking public transportation (e.g., bus, BART)",6.0,No,"A mix of both, depending on the day.",221.0,11.0
Data Science,Bachelor’s degree,"Personal interest (i.e., I am interested in the subject matter);Employability (i.e., There are many good jobs in this ﬁeld);Career goals (i.e., I want to pursue a career in this ﬁeld)",nan,Maybe,Maybe,nan,Maybe,Maybe,nan,Trigonometry;Precalculus;Intro to Calculus Calculus AB;Calculus BC;Other: (please specify),"Trigonometry;College Algebra for Calculus;Precalculus;Calculus for Science, Engineering, and Mathematics I - or Honors Calculus I;Calculus for Science, Engineering, and Mathematics II - or Honors Calculus II;Linear Algebra;Vector Calculus;Diﬀerential Equations;Discrete Mathematics;Statistics","Yes, someone in my extended family (cousin, aunt, etc.) Yes, a family friend or neighbor",4.0,5.0,4.0,Conﬁdent,C;C++;Java;Python;R,1993-04-30,94118.0,10.0,"Fourth-generation or beyond (born in the country, with all grandparents born in the country)",25.0,Driving a personal vehicle,7.0,No,Spending time alone to relax and reflect.,223.0,9.0
